geometry,ID,Country,X,Y,Casos,casos_10000hab,Orden
"{""type"":""Point"",""coordinates"":[34.96585649550304,31.358529548327187]}",,Israel,35,31,23755,"181,4",85
"{""type"":""Point"",""coordinates"":[12.071741026801039,42.79578138961591]}",,Italia,12,43,240310,"378,5",86
"{""type"":""Point"",""coordinates"":[-77.31901254932333,18.15141972783003]}",,Jamaica,-77,18,696,"19,6",87
"{""type"":""Point"",""coordinates"":[137.9907440848423,37.56216058669667]}",,Japón,138,38,18367,13,88
"{""type"":""Point"",""coordinates"":[36.78672969532473,31.253315798263838]}",,Jordania,37,31,1121,"6,4",89
"{""type"":""Point"",""coordinates"":[66.65782333255832,48.015985121558934]}",,Kazajstán,67,48,21327,"40,6",90
"{""type"":""Point"",""coordinates"":[37.85788186518367,0.529861747129997]}",,Kenia,38,1,6070,"2,3",91
"{""type"":""Point"",""coordinates"":[74.5555965608235,41.46505432230939]}",,Kirguistán,75,41,5017,"20,7",92
"{""type"":""Point"",""coordinates"":[20.880338254626857,42.576621705344145]}",,Kosovo,21,43,2169,"55,9",93
"{""type"":""Point"",""coordinates"":[47.59087773042939,29.34079236999538]}",,Kuwait,48,29,44942,421,94
Point,,Laos,103.010143,19.839781,19,"0,3",95
"{""type"":""Point"",""coordinates"":[28.243011194500202,-29.58099930379155]}",,Lesoto,28,-30,27,0,95.1
"{""type"":""Point"",""coordinates"":[24.92942574502669,56.85753501084155]}",,Letonia,25,57,1116,"53,8",96
"{""type"":""Point"",""coordinates"":[35.88802652698439,33.92026581936507]}",,Líbano,36,34,1740,15,97
"{""type"":""Point"",""coordinates"":[-9.307913522183675,6.448091643746475]}",,Liberia,-9,6,768,"5,4",98
"{""type"":""Point"",""coordinates"":[18.023286510527903,27.043954354586816]}",,Libia,18,27,762,1,99
"{""type"":""Point"",""coordinates"":[9.554269972276922,47.15184762879167]}",,Liechtenstein,10,47,82,"211,6",100
"{""type"":""Point"",""coordinates"":[23.898120846804076,55.33567068211174]}",,Lituania,24,55,1815,57,101
"{""type"":""Point"",""coordinates"":[6.087813753096567,49.77062851541823]}",,Luxemburgo,6,50,4242,"635,7",102
"{""type"":""Point"",""coordinates"":[21.703252279616073,41.5960886907094]}",,Macedonia del norte,22,42,6080,"91,4",103
"{""type"":""Point"",""coordinates"":[46.70603966251066,-19.373383066414345]}",,Madagascar,47,-19,2078,"1,5",104
"{""type"":""Point"",""coordinates"":[109.70819173359862,3.792367561554001]}",,Malasia,102,4,8634,"21,5",105
"{""type"":""Point"",""coordinates"":[34.30723316602845,-13.215803787442331]}",,Malawi,34,-13,1146,"0,4",106
"{""type"":""Point"",""coordinates"":[73.25224765034375,3.21628426671723]}",,Maldivas,73,3,2324,"324,5",107
"{""type"":""Point"",""coordinates"":[-3.524422413873422,17.35027936584993]}",,Mali,-4,17,2147,"4,7",108
"{""type"":""Point"",""coordinates"":[14.441922442508453,35.890522650899285]}",,Malta,14,36,670,"121,4",109
"{""type"":""Point"",""coordinates"":[-8.938045402780016,29.10846583694973]}",,Marruecos,-9,29,12052,"20,1",110
"{""type"":""Point"",""coordinates"":[57.87076676691237,-20.251865727487964]}",,Mauricio,58,-20,341,"26,2",111
"{""type"":""Point"",""coordinates"":[-10.33229808574711,20.25985146623123]}",,Mauritania,-10,20,4149,"4,2",112
"{""type"":""Point"",""coordinates"":[-102.53288640134912,23.950464628028673]}",,Mexico,-103,24,216852,"47,1",113
"{""type"":""Point"",""coordinates"":[28.473930516307266,47.19387081166662]}",,Moldavia,28,47,16250,250,114
"{""type"":""Point"",""coordinates"":[7.412820873271182,43.74798224995647]}",,Mónaco,7,44,103,"254,6",115
"{""type"":""Point"",""coordinates"":[103.08321776341872,46.83529080099221]}",,Mongolia,103,47,220,"4,2",116
"{""type"":""Point"",""coordinates"":[19.247960542195944,42.79185694717782]}",,Montenegro,19,43,481,"52,1",117
"{""type"":""Point"",""coordinates"":[35.55220001578031,-17.26005488114467]}",,Mozambique,36,-17,859,"0,5",118
Point,,MS Zaandam,-83.050575,8.094285,9,#¡DIV/0!,119
"{""type"":""Point"",""coordinates"":[17.218277414543678,-22.133248121832896]}",,Namibia,17,-22,183,"0,7",120
"{""type"":""Point"",""coordinates"":[83.93854772193929,28.253007582171197]}",,Nepal,84,28,12772,"1,6",121
"{""type"":""Point"",""coordinates"":[-85.03478315992565,12.839906232694416]}",,Nicaragua,-85,13,2170,"4,3",122
"{""type"":""Point"",""coordinates"":[9.397647928939929,17.42614907207014]}",,Níger,9,17,1074,"4,1",123
"{""type"":""Point"",""coordinates"":[8.105306399777369,9.593960117502437]}",,Nigeria,8,10,24567,"3,4",124
